text,sentiment
@united Pleased to be a Premier Platinum,positive
@AmericanAir When did they start to sell water @AdmiralsClub ?,neutral
@SouthwestAir Southwest Airline is THE way to go!,positive
@AmericanAir not sure why I would bother when the agent at the airport didnt help &amp; nobody on phone would. Ticket Cancelled Flightled for no reason.,negative
@JetBlue flite454,neutral
@USAirways 2 hours on hold. Still no answer. Horrible.,negative
@JetBlue i love this song &lt;3 thanks @JetBlue,positive
@AmericanAir won't answer the reservation line!  Nice service.  We may be stuck...,negative
���@united: @Darquenloveli We regret to hear this. Please let us know if you need assistance. ^KN�۝ I was finally able to secure my seat. Thx,negative
@AmericanAir Cancelled Flightled 2 of my flights for maintenance. Customer service desk is empty... Can I get a hotel at least? http://t.co/ypbkCiRBXu,negative
@SouthwestAir I need to request a refund on my flight that was Cancelled Flightled this morning due to the weather.,negative
@SouthwestAir very frustrated. Bought early bird at 6:30am on day tickets were released and got mid-B ticket. Spend $50 for nothing,negative
@USAirways you can send my luggage to my house_���,negative
"Why even ask me to DM you and offer help if you ""can't do anything"" @united #terriblecustomerservice #unitedairlines http://t.co/feC4i3Vwq7",negative
@united I have received one previously on the 11th having checked. Odd as you said there was no complaint associated with my e-mail?,negative
"@VirginAmerica , am I dreaming? Did you really just open up a route between Dallas and Austin?! And does this mean Houston might be next?",positive
@JetBlue offers hot tea and coffee...at the gate! You guys make me wonder why I have ever flown any other airlines! ����_�ԍ,positive
@AmericanAir working over time tonight?  Got delayed 2 days .. In SJU .. Could be worse :),negative
@AmericanAir Am on web site requesting refund for Cancelled Flightled flight. It requires numerical document number. Where get it?,neutral
@united that's not even an apology,negative
"@united for an early flt, I think a call is appropriate. Yes, reviewed and nada avail until next day. Expect full refund",negative
@AmericanAir don't worry. I'll be sending a letter with what I expect from you for compensation. I fly twice a week w/you guys...for now,negative
@united thanks United I understand that. But he would actually like his own bag back! What have you done with it?! He also wants the money..,negative
@JetBlue Help - I left my Nikon camera under the seat in front of me. What do I do?,neutral
"@SouthwestAir   Happily, flight 1625 was not delayed when a cockpit visit blew my four-yr-old's mind. Thanks, Cap'n! http://t.co/C8mqEzXVdH",positive
@AmericanAir OMG ANSWER YOUR PHONE I HAVE BEEN ON HOLD FOR 1.5 hours. Cancelled FlightED FLIGHTS SUCK,negative
@SouthwestAir yall still fly in the cold right?,neutral
@SouthwestAir I miss mine terribly. A +1 for my 30th anniversary would be amazing. It would mean LUV is in the air. #dontmakemebeg,positive
"@united typical caned response from UA, fix your crappy performing, last placed/ranked airline in this century!",negative
@SouthwestAir and Carol Thrower are passengers. Fort Lauderdale airport.,neutral
@AmericanAir finally called! Can't get met Seattle so refund will be processed. Thanks,positive
@USAirways how are you guys losing luggage when it was suppose to be on the same flight I was on. Highly disappointed no meds no clothes :(,negative
"@USAirways My booked seat ended up being the last row which was labeled ""do no occupy"" had to play musical chairs for 30 mins. Unacceptable",negative
@united Never can get a flight out on time. 4 hour delay earlier another hour delay on my connecting flight. Makes 10 straight delays,negative
@JetBlue thanks! Calling right now!,positive
@SouthwestAir my flight was Cancelled Flightled Monday.  Just looking to Cancelled Flight and credit my card.  That's all.,negative
"@AmericanAir 719. Looks like we are about to get going, finally!",negative
_��_���_���_���_��� ���@JetBlue: Our fleet's on fleek. http://t.co/yco9dikpt9�۝,neutral
@united of course I need help.  I've been DMing you ladies and gents all day. Your only solution is hope for the best and LAX.,negative
"���@SouthwestAir: Congrats to these fans who are seeing #DestinationDragons in L.A.! SLC, you're next! http://t.co/YcCITaeP3S�۝ Thanks again SW",neutral
@united yes at 2am...but now back on a plane again and delayed again due to baggage loading issue... http://t.co/NfAQHhr09j,negative
@JetBlue No worries. Delay was minor and dealt with nicely. It was captain of flight 2324 by the way.,positive
@SouthwestAir Supposed to take off almost 2 hours ago....#vacationfail #frozenwater? #gettingimpatient #theycouldatleastofferfreebooze,negative
"@USAirways contact via FB messages, Twitter DM or text?",neutral
@SouthwestAir from LGA to San Diego,neutral
@USAirways hey guys!  Thanks for answering me and thanks for keeping me on hold for an hour on customer service at 12 pm PST!,negative
"@united After speaking to a United customer service rep the night before a flight, confirming that everything is ok with your reservation..",neutral
���@JetBlue: Our fleet's on fleek. http://t.co/3Ltx7JKBo9�۝ is fleek dead yet now?,neutral
@JetBlue That's why I love JetBlue! #truebluemember4life,positive
@SouthwestAir why the delay on Flight 423 BDL to MCO? Need to get to Florida for the ��ە�&amp; races in Daytona,negative
"@JetBlue pilot: ""Don't worry folks there's a backup for the backup for every part of this plane."" Thanks guy",positive
@United so what�۪s the deal? Do u provide voucher for overnight or am I cozy on the floor at #OHare ? #gross #HelpMePlease #AnyoneThere,neutral
@USAirways we've now learned to never fly with u again. You've lost 16 customers from our group + the hundreds more from our company,negative
"@USAirways Flight US 723 from @DublinAirport to @PHLAirport passing over @LoveLoughNeagh at 20,000 ft this morning. http://t.co/FRd0cAy6DA",neutral
@SouthwestAir NOR @SpiritAirlines fly to Toronto?!?!? You're killing me smalls.......,negative
@USAirways US 728. One water run of the planet's smallest water bottles. Applaud you looking out for the environment.,negative
@VirginAmerica my flight (6000) scheduled for 1pm departure still says on time but no plane at gate. Any update on how long of a delay?,negative
@united on line baggage system complete rubbish. bag missing 2 days. No meaningful information.,negative
@united or you'll Cancelled Flight my flight like you just did,negative
"@JetBlue we saw one, he was as useless as the tsa agents who inspected my shoes",negative
@AmericanAir what can AA do for a load of people about to board their 5th plane of a very long day when the first 4 were unserviceable,negative
@united in ORD hotel issued to my 4yr old. Tickets needed fixing again another hour and 5 agents l8r nightmare still not over,negative
@united ��_ But friendly efficient air attendants in coach #UA992 http://t.co/49pV3KcHNR,negative
"Lines may be extra long or security slow, but seems your employees too quick to blame customers who don't arrive 3-4 hours ahead @JetBlue",negative
@JetBlue thanks!,positive
@united silly I'm flying delta today. Your united club staff and attendants are surly and unhelpful and always seem bothered by pesky folk,negative
@JetBlue safety first !! #lovejetblue,positive
@united then watched my connecting flight in DEN pull away from the gate only to pull into THE SAME gate. #SlapInTheFace,negative
@AmericanAir flight Cancelled Flightled and was trying to reschedule but 800 number just says to call back,negative
"@SouthwestAir extremely frustrating travel experience in Denver! Instead of landing in SEA on Saturday, now it's Monday afternoon!",negative
"@USAirways @AmericanAir pissing off thousands of East coast customers.  When the delay is longer than the flight,  you = fail",negative
"@AmericanAir I need to go to YYZ tmr morning 8am. I switched to United already, but my bag is still off in AA la-la land.",negative
"@USAirways guys I need help my reservations, tried calling and I'm told to call Late Flightr. Please help me here.",negative
"Thanks, @chasefoster. Was just about to book a flight to UK using @AmericanAir, but after reading this exchange, there's no way. I've sent",neutral
"@usairways If I could/wanted to call I wouldn't use the internet to make a reservation.

Site won't work on Chrome, on several computers.",negative
@SouthwestAir 10 revenue flights since the beginning of 2015?,neutral
@united #FirstClass to #London on my way to #LondonFashionWeek #LFW15 _���_���_��_���_���_��_���_���_��,positive
"@AmericanAir
 Your response could have made all the difference. It could have made the situation better. NO TRUST...GET LOST like my bag.",negative
@united obviously,neutral
@AmericanAir we've already made other arrangements ourselves.,neutral
@SouthwestAir Whoa. Thanks and that's what I wanted to hear! Early flight coming up. Thanks for the reply.,positive
@united not about being on my way or impatience on my part...it's about you being untruthful and not having proper systems in place,negative
"@JetBlue flight 1041 to Savannah, GA",neutral
@JetBlue 5 hours delayed now in hour increments?  Really?  &amp; as Mosaic I still have to pay $25 to use lounge during this waste of a Sunday?,negative
@JetBlue my flight attendant Angel was awesome. #415 #kudos,positive
@united If an award is no longer showing available could it possible become available again?,neutral
@SouthwestAir is having a sale! I'm delighted!,positive
"@united + UA has been rolling out improvements too, we think. Hoping they'll catch up soon? Meantime, ANA is our preference!",neutral
@USAirways then she had to get her own hotel so ur agents did nothing to help and to top it off you sent her luggage on the wrong flight!!!,negative
@SouthwestAir after an hour and a half then it came back damaged. Not happy _��,negative
"@united more people stranded cause you suck. Better yet, you weasel out of Flight Booking Problems rooms for people claiming weather http://t.co/Flcnnn2USD",negative
"@SouthwestAir Booked 6mos early, paid for Early check in, was ASSIGNED boarding #, here 3hrs early and you deleted me in error?! #LAS2BUF",negative
@JetBlue Two delays.  A little proactive communication goes a long way. #howhardcanthatreallybe?,negative
@AmericanAir I was just called abt my flight Cancelled Flightlation- a flight that was Cancelled Flightled at 10:30a Sunday. Two 4:00a calls are not okay.,negative
"@USAirways never flying #USAirways again. Horrible experience, terrible customer service.",negative
@united so what's the solution?,negative
"@JetBlue Flight 1133 (N353JB) ""Blue La La"" departs @mco enroute to San Juan International Airport http://t.co/SWZm2fX3nu",neutral
"@AmericanAir 2 hours now!  No I'm not patient.  Why don't you have a call back feature or pay someone to answer the phone, not tweet #onhold",negative
"@JetBlue When it's 30 mins past scheduled time w/ no departure in sight a flight no longer qualifies as ""on time"" #updateyourwebsite #489",negative
@AmericanAir @USAirways So who do I need to talk to to ensure the statement is sent to my bank so I can get the credit for the charges?,negative
"@AmericanAir lost 3 pieces of our bags, haven't delivered them in 36 hours, lied that they were delivered, and still no refund.  Never again",negative
@united yall should probably work on that.,neutral
"@AmericanAir flight from PHL to Austin Cancelled Flighted, headed to Houston, delayed, now have to pay to rent a car and drive 3 hrs to Austin",negative
@JetBlue currently dancing in the terminal. love Stevie!,positive
@united are the ones who make it difficult for me.,negative
@SouthwestAir knows whats up! That #BlackHistoryMonth commercial. Just another thing to add to reasons why I fly with #SouthWestAirlines,positive
"@united fantastic night of waiting 3 hours for a delayed airplane, only for you to alert us flight is Cancelled Flighted when it lands. #whatstatus",negative
@USAirways transferred 4x pleeeeeeeease help!,negative
@united Did you find out where it is? Thanks,neutral
@AmericanAir from a service rep but that hasn't happened yet. I'm honestly fed up and sick of this. No notice when my flight got Cancelled Flighted,negative
@USAirways 1729 connecting in charlotte to houston. Mechanical issue determined while q'd to take off. And we checked our bags.,negative
@AmericanAir @USAirways over an hour on the phone the best you can tell me is it was sent maybe my bank misplaced it...,negative
"@JetBlue 2nd time in a row a flight out of jfk a disaster. Last time I wasn't allowed to fly stndby, now a 2 hour delay w/out notification",negative
@USAirways @AmericanAir USAIR #703 has returned to PHL due to issues with the fire detectors. What happens next?,negative
@JetBlue why are we delayed :( flight 1601,negative
@AmericanAir my travel for tomorrow was Cancelled Flightled and then stupidly rebooked for tomorrow! I can't get through to reservations!,negative
"@united They let us know in advance of the reboot, yes :) Thanks for the attentiveness!",positive
@SouthwestAir your employees were great!,positive
"@united + besides, no small degree of self-interest. We take that route several times a year &amp; would hate to be in that situation.",negative
@AmericanAir to realize your customer service leaves much to be desired and the folks handling the calls could care less...and it shows.,negative
@AmericanAir All of the nicest people in the world work at Admiral's clubs. Gladys in San Juan es mi Amiga,positive
"@SouthwestAir Is there any way to add a Known Traveler Number to an existing reservation online?  If not, why not?",neutral
@united flight UA3364 been sitting on tarmac for 30 mins with no report as to why...any input?,negative
@USAirways would you consider honoring the original fare price if I were to try Flight Booking Problems the ticket again?,negative
@united I'm not booked on a 1:30 return flight..,negative
@SouthwestAir i cant look up my confirmation number at the moment on mobile. the email is no longer in my inbox,neutral
"@AmericanAir no repair made to the water line. No potable water on board this flight. ""We will take off soon."" Time for new planes MCI&gt;DFW.",negative
@SouthwestAir your app isnt working and i take off in like two hours help,negative
@SouthwestAir loses baggage a day ago and still has no idea or interest in finding it? ALL items for new job in that bag! Unacceptable.,negative
@JetBlue after 40 mins they tell us they can't check temperature for at least 2 more hours. So it's back to the gate to wait. #mosiacfail,negative
@USAirways how does that help me when I get no response from there??? #usairwayssucks,negative
@USAirways Call volumes are high so the best answer is to hang up on me?,negative
@USAirways  And now your half assed plane is falling apart. Some one tell my family I love them! #DoBetter http://t.co/UA6doUA34l,negative
"@SouthwestAir I was under the impression when there is an 8 hour delay in your flight because of equipment failure, compensation is offered?",neutral
@SouthwestAir I start a new job tomorrow &amp; you Cancelled Flight my flight (1629 BWI-LAX) and you really can't get me on another flight today ?!,negative
@JetBlue Stop trying to make #fleek happen! #PointsMe,neutral
@united how do you stay in business with such poor service? #poorservice #notgoodenough http://t.co/VO61LME5ja,negative
@JetBlue Airways Corporation (NASDAQ:JBLU) Update: @JetBlue says #Lufthansa ... - Markets Bureau http://t.co/aPY3zLSqUu,neutral
@JetBlue good luck. Thanks.,positive
"Despite Mother Nature's best efforts, @SouthwestAir's good-humored folks got us home safely in an area heavily affected by winter storms.",positive
"@USAirways stranded @Ernie_Vigil Phoenix w/ broken foot.  Both my flights f'd, Sunday for ""sickcrew"".  Cancelled Flighted my mechanics flight today.",negative
"@SouthwestAir 50min to get bag checked n ATX, miss my flight, spend all day @BWI, n not get my baggage at the end of it all.  #epitimeoffail",negative
@United I'd like to thank and recognize Terri P at Dulles for going out of her way to get me back on my Raleigh flight,positive
"@AmericanAir obviously we did see an agent-booked us for tomorrow morning. No hotel, no transportation. #pregnantwithtwins #stranded #angry",negative
"@USAirways 100 feet from the gate at PHL, but no ground crew. You can't make this up.",negative
@USAirways 5534. That's the flight I was placed on after original flight to Charlotte was Cancelled Flightled.  Now 5534 is on 1hr delay,negative
@AmericanAir and @iTunesMusic have put me in bad mood. I haven't been this angry since Spagnuolo coached the #Rams,negative
@AmericanAir Cancelled Flightled two flights from Miami to Nashville yesterday and could not get me on a flight for 3-4 days. #Southwestairwasthere,negative
@AmericanAir ok. Pilots are looking for agents  - they jumped out / FLT 5350 #DFW / this is crazy,negative
"@USAirways @HutchinsJim Yes, I made the flight and got my workout in too.",neutral
@united my flight is Late Flight due to mechanical issues 3 of 4 flights in past 10 days!,negative
@USAirways yesterday we were delayed for SIX hours w/lil to NO explanation we paid LOTS of $$ 2 fly w/u &amp; this is how u treat ur customers?,negative
@united I don't know my flight details bc I need to explore some options which I'm unable to do bc the site won't let me.Seems to be ongoing,negative
"@united you can't claim ""weather"" with your hardworking crew pulling seats out of a plane! Do the right thing. But we both know you won't",negative
"@AmericanAir thx, just sent the DM",positive
"@united #customerservice at @Dulles_Airport could not be worse. I get the bad weather, but this is awful.",negative
@united thanks -- we filled it out. How's our luck with this? Is it common?,positive
@united Thank you for your response!,neutral
"@JetBlue poor storm customer service, 1hr takeoff delay waiting for the snack cart, rude steward (no names) and I love you guys. #TrueBlue",negative
"@USAirways just heard #Monterey airport was closed due to thick fog, any updates",neutral
@united Thank you.,positive
"@SouthwestAir @saianel You could have just said ""We don't know""",negative
@SouthwestAir weather where? And at what time Cancelled Flighted? No I can't because meeting was today.,negative
@SouthwestAir A-List Pref credit card holder called exclusive # and hung up after on hold for 14 min. What gives???,negative
@JetBlue is a joke. Missed my connecting flight by 5 minutes. Last flight of the day and they don't hold it.  5 minutes.,negative
@SouthwestAir follow for a DM please. Need to confirm a Cancelled Flighted reservation,neutral
@united Flight:UA1750 is basically a prison on the runway @ SFO 6delays 4hrs of sitting no water no answers. reminded y I hate this airline,negative
@united I like delays less than you because I'm the one on the plane. Connect me with a voucher,negative
@SouthwestAir CEO discusses possibilities of NHL Vegas arena naming rights http://t.co/t3E4SH5xNg @SMUSportMgt #sportsbiz,neutral
@JetBlue Can you take @Cosmopolitan off your blacklist... trying to work :(,negative
@USAirways Thanks for the information!,positive
"@SouthwestAir snapchat, iMessage, instagram......",neutral
@JetBlue 's free wifi on board is the best thing that's happened since sliced bread,positive
@AmericanAir Will my us air points now be combined with yours?,neutral
"���@AmericanAir: @mwangbickler We apologize for your frustrations, Michael. Have you been rebooked?�۝ -got call back after 10 hours. Bad.",negative
@united so if this game was the one reason I payed for @DIRECTV is there something we could work out here? http://t.co/HQDTK6aTue,neutral
@USAirways i've been on hold for an hour trying to change my flight!!! COME ON,negative
"@USAirways take a look at 1715. All F seats filled, so someone upgraded their friend instead of following rules.",negative
@USAirways missing my reservations due to a Cancelled Flightled flight. Make it right by giving me first class tomorrow. Make your customers happy.,negative
"@united yes, would love an upgrade or voucher,  please give me a call 9148445695",neutral
@SouthwestAir to end its daily #B737-700 flights from #Washington Reagan to #FtMyers on 8AUG #avgeek,neutral
@united my baggage is in shannon now so never mind u can work on giving me some $$$ back now,negative
@USAirways not best pleased with service so far. On our third gate and still no guarantee that it's the correct one :(,negative
@SouthwestAir I told myself last time I would never fly you again. I really messed up today. Thanks flight 1802. Worst airline ever,negative
@SouthwestAir staff was overall awful through multiple airports would have switched airlines if another flight was available,negative
@JetBlue flight booked! Heading out to California with the @WikiPearl team for  @NatProdExpo on March 6-8! Can't wait! #ExpoWest,positive
@USAirways more than an hour holding to change a flight on the phone now.. What's up with that???,negative
@AmericanAir thank you for replying. Trying to figure out how to get from there from DFW,positive
@USAirways it was supposed to be a carry on and in Pittsburgh  coming to Boston it was a carry on,negative
@AmericanAir At what e-mail adress can I send your CEO Mr. Doug Parker a letter that he hopefully reads?,neutral
@united I don't know what DM the confirmation number means.,neutral
@united Everyone around us is sitting with their friends and family members. They booked their tickets in October and December. We bought,negative
"@vanessaannz seriously, you hate @AmericanAir since they can't accommodate you due to inclemental  weather disruptions? lol, very funny",negative
"@AmericanAir stranded for 24 hours in MIA, Patrick casimir has been the ONLY AA staff to apologize for the great inconvenience #unreal",negative
@AmericanAir ok thank you. What if I can't get a hold of someone to get a new flight?,positive
@SouthwestAir THANK YOU SO MUCH!! http://t.co/tGSB1DfPS3,positive
@JetBlue is blaming @TSA for flight 584 luggage debacle!  #luggagegate,negative
@AmericanAir I got rebooked on on us airways by you guys but the flight I got won't work. Any help would be appreciated.,negative
@JetBlue Think about it...boarding to a chill untz untz untz....like this http://t.co/lj2lARivE0...,neutral
@USAirways can I get a free mimosa to compensate my flight delay (yet again) thx,negative
"@AmericanAir third you lost her bag &amp; after 50 mins of being on hold you told her she would ""eventually get her bag"" completely unacceptable",negative
@USAirways please keep Emily at you gso airport ticketing on staff she is amazing,positive
@USAirways Ok Thanks,neutral
@united private jet would have been cool! Do does not work. I'll try again,positive
@USAirways can't even get on hold to wait to speak to someone-awesome,negative
@USAirways Wishing we had our luggage. 2 days now. Had to pay our way from St Thomas to San Juan. Spent extra $$$ because of this mess up.,negative
@united What happens on 9:11 a.m. of 9/11 2spooky 4me m8 such spook much scare,neutral
X____x RT @JetBlue: Our fleet's on fleek. http://t.co/Y39YzDpBvU,neutral
@USAirways hundreds of people in line and less than half the desks being manned at CLT. Help?,negative
@USAirways 3935. Sitting on a freezing bus because nobody is in the plane. What is up?,negative
@jetblue Vegas desk said JFK connect would b held 4 us and 26 others on our plane now staff at JFK says weather was problem. #epicfail,negative
@JetBlue sale please soon?? I need a tan,neutral
@united Turkish Airlines rebooked us a United flight on our second leg from FRA -&gt; IAD. Is there any way to check if upgrades are available?,neutral
"@USAirways No need for apologies just an unfortunate situation . There is no up date, I've landed but was suppose to land at 5",negative
"@united ""where we trick you into making us look popular on Twitter by being the worst airline"" #wellplayed #jokesonus",negative
@SouthwestAir I absolutely will. Where can I send it?,neutral
@SouthwestAir Whats up with flight 4464 Ft myers to milwaukee???,neutral
"@United Your customer service for Mileage Plus customers is a disgrace. I just spent 45 min on the phone to reset a pin number, with no luck",negative
@united hi! I just bought a flight with united through ebokeers from Paris to Miami. Do I have any chance to check that everything is ok?,neutral
@USAirways oh great after a 5 hour delay we get to sit on the plane for another hour without it moving.  Flight 1137 has been awful,negative
@AmericanAir Why not sell MCE during post door-close shuffle in same way u sell drinks/snacks? People on my flight self-upgraded w/o paying.,negative
"@JetBlue sorry for my misunderstanding of the term, but what does that exactly mean?",neutral
@united no apology? Cool.,negative
@SouthwestAir and thanks!,positive
@united just wanted to let you know how wonderful Rosetta the gate agent was working flight 6457 Dan to Ase. Let her know she wasappreciated,positive
"@VirginAmerica done! Thank you for the quick response, apparently faster than sitting on hold ;)",positive
"@united Thank you but the person in Houston could only get me a flight routing through Newark, NJ and I'm going to SFO",positive
@JetBlue Is today's JetBlue Flight 918 (NYC-&gt;BOS) delayed? My app says on time and the website says it's not...,negative
"@JetBlue not to get into semantics here but ""by"" means ""within the extent or period of; during"" and it is still technically 2/19 #dictionary",negative
"@JetBlue can't book a flight because of outdated, forced opt-in ""Verified by Visa"" nonsense. Help a girl out? I just want to get to @sxsw",negative
"THANKS to @SouthwestAir , I get to go to the #DestinationDragons @Imaginedragons show this weekend in UTAH @VelourLive  !!! #ThankYou",positive
@USAirways haha no worries you guys are the best!  +1 for spelling my name correctly,positive
@SouthwestAir can i have my bags back   ding!!,negative
"@southwestair Landed an hour Late Flight from IND to DEN, and 40+ min Late Flightr, our bags are not here. Not cool.",negative
@SouthwestAir please acknowledge Attendant Jeff Wernicke. Beat in class and service on SW,positive
"@VirginAmerica to battle @SouthwestAir on @DallasLoveField-@AUStinAirport route 
http://t.co/6RLz0EBk2X via @usatoday",neutral
@AmericanAir I can't choose a seat online because I booked on @priceline ??? #SMH,negative
@JetBlue Thanks!,positive
@AmericanAir come on I just want to go home I can't miss another day of work #stuckinmemphis #texasisclosed,negative
���@united: @leigh_emery We don't like to hear this. Is there anything we can help with? Thanks. ^EY�۝ another empty offer for help.,negative
@SouthwestAir Working on a piece about military discounts and am hearing you offer one. Can you give me specifics and confirm? Thank You!,neutral
@united looks like I'm settled in to where I'm going.  Thx.,positive
@JetBlue you guys operate a world class company and for that I thank you,positive
@USAirways what's the issue with flight 4420 from jax being delayed tonight?,negative
@AmericanAir my flight was Cancelled Flightled I called they said they'd call back in 1:36. They did And hung up now saying I have to wait 2 hrs!!,negative
@united why am i mot getting my refund?,negative
@united yes. Bags came 1 hr after I arrived at baggage claim. Awful experience on the ground at BHM,negative
@united @annricord Great! Appreciate it_��_,positive
@AmericanAir thanks for following up- it finally worked!! Fingers crossed the new flight works.,positive
@USAirways Reservation agent on the phone did a great job.,positive
"@AmericanAir flights been Cancelled Flightled, can't get through to the desk and nothing showing online under my reservation - what do I do?",negative
@united well it IS John Hughes' birthday. But I will stick w the plane &amp; hold off on trains &amp; automobiles. Gate workers are doing well.,positive
@USAirways no we haven't because we've been in the same line at the service desk for an 1hr and 1/2 now in the same spot.,negative
@united Which just speaks to basically the worst designed web system ever.,negative
@united I didn't have time to take my wet clothes/suit back to the airport and wasn't going to pay for another cab to do so.,negative
@united I was on UA3782 and it was Cancelled Flightled. I'm waiting at customer service.,negative
@SouthwestAir I am absolutely sick of 300s and no wifi!,negative
"@USAirways Eyyyy! Cancelled Flightlations, Flight Booking Problemss, reFlight Booking Problemss, but y'all got me on the same flight out tonight (not tomorrow) &amp; the FC upgrade. Thx!",positive
@JetBlue the pilot just stated that after 22 years of flying he has never experienced anything like this. #gettingoffplane,negative
"@SouthwestAir my trip is a month away...why do you consider it ""around the corner""? Is that a setting I can change?",negative
@SouthwestAir you should know the crew today on flight #1071 AUS to PDX was awesome! #SWA,positive
"@united There is no ""reference number."" Your agent told me to ""just drive to the airport"" because ""I can't reach anyone there to deliver...""",negative
@AmericanAir Can I use an SWU on an Finnair codeshare of an American operated flight (JFK-MAN)?  Thanks in advance for the help!,neutral
@united feeling like a true united customer stuck.on the tarmac in dc for over 2 hrs. UNITEDFAIL,negative
@SouthwestAir trying to fly out of Nashville tomorrow. How is it looking?,neutral
@USAirways the disappointment was not the bag but that it arrived before me and I was kept 12 hrs without options in IAH,negative
"@JetBlue Felt a bit like they were adding insult to injury, since we'll be in terminal 5 for seven hours until the next flight :/",negative
@SouthwestAir A little surprised my Early Bird got me B15 from DEN to KC just now. Worst I've had. What's up?,negative
@united has once again let me down. Don't think I've ever flown with them and not had problems. Worst airline period.,negative
"@AmericanAir Nope. Couldn't make changes online and after 90 mins on hold and time dealing w/ the rude rep, the 24 hour window has closed.",negative
@SouthwestAir it keeps saying that mobile boarding passes are unavailable despite having checked in and everything,negative
"@VirginAmerica Funny story, your website is broken, you have missing javascript and stylesheets on the checkin process. I dislike this!",negative
@JetBlue that is my point! They are only offering me a flight the next day and expect me to now pay for a hotel because they Cancelled Flightled.,negative
@united thank you!,positive
@SouthwestAir I have a voucher w swa that expires 4/10. An extension would be a lot of luv,negative
@AmericanAir @SentieriMelinda Any updates? It shouldn't take hours for assistance. I love @SouthwestAir,negative
@SouthwestAir you guys just rip me off if I could Cancelled Flight every flight I had booked for my employees I  would Buyer beware,negative
@AmericanAir - I am Platinum.  I am flying USAir and they have stranded me in CLT.  Not answering phones. Did not rebook me.  Please help?,negative
@USAirways for a response in 3-4 days? No thanks,negative
@AmericanAir well Done all of you xx,positive
"Thanks! Hope I don't look like a complainer, I've written of good experiences w/you in the past and am making do in terminal 5 :) @JetBlue",positive
@USAirways 2 hours?! And just got disconnected.,negative
@USAirways now my rebooked connection is delayed.,negative
@United is freaking worthless. I hate this airline. http://t.co/dN1if2cGwE,negative
"@AmericanAir thanks for forcing me to check -in my carry - on luggage. That is exactly why I spent extra money on ""travel size"" toiletries",positive
"@SouthwestAir You guys must have been swamped, even took our corporate travel a long time to get in, but everything worked out in the end.",neutral
@USAirways No hot food on a 5 hour flight? Crazy. Couldn't eat in PHL b/c our original connection was 40 min Late Flight. What gives? #PHLtoLAS,negative
@JetBlue follow for DM please,neutral
"@SouthwestAir how is tkt in the A grp for a cxld flight gets stuck at the back of the Cs when your site, phone and agents took 1h to rebook",negative
@united maybemange the airline alittlebetter. Arrived at LAX and no GATE! #howisthatpossible always the same thing w/u,negative
@SouthwestAir I'm on the 110 lol has anyone arrived yet??,neutral
